ensembl_gene_id,uniprotkb_canonical_ac,status,genename,brain
ENSMUSG00000037907,Q5F259-1,reviewed,"""Ankrd13b""",5.6435
ENSMUSG00000037788,Q8R1C3-1,reviewed,"""Vopp1""",4.8294
ENSMUSG00000017707,Q9QZI9-1,reviewed,"""Serinc3""",6.3025
ENSMUSG00000033365,Q8K0C1-1,reviewed,"""Ipo13""",6.3374
ENSMUSG00000002910,Q9D668-1,reviewed,"""Arrdc2""",2.5068
ENSMUSG00000021868,Q99KR7-1,reviewed,"""Ppif""",4.2979
ENSMUSG00000032508,P22366-1,reviewed,"""Myd88""",1.2056
ENSMUSG00000021796,P36895-1,reviewed,"""Bmpr1a""",3.5234
ENSMUSG00000039994,Q9R1X4-1,reviewed,"""Timeless""",1.2299
ENSMUSG00000032504,Q9WU78-1,reviewed,"""Pdcd6ip""",4.4724
ENSMUSG00000021866,P97384-1,reviewed,"""Anxa11""",3.3724
ENSMUSG00000050565,Q8BYU6-1,reviewed,"""Tor1aip2""",4.3657
ENSMUSG00000037845,Q3UY23-1,reviewed,"""Fdxacb1""",1.4431
ENSMUSG00000037847,Q91W63-1,reviewed,"""Nmrk1""",2.1111
ENSMUSG00000021820,Q923T9-1,reviewed,"""Camk2g""",5.9965
ENSMUSG00000021823,Q64727-1,reviewed,"""Vcl""",2.7538
ENSMUSG00000037206,Q6GU68-1,reviewed,"""Islr""",3.9594
ENSMUSG00000048796,A2AE42-1,reviewed,"""Cyb561d1""",2.825
ENSMUSG00000019528,Q9R062-1,reviewed,"""Gyg1""",4.0955
ENSMUSG00000036461,Q60775-1,reviewed,"""Elf1""",1.0294
ENSMUSG00000029389,Q6ZPL9-1,reviewed,"""Ddx55""",3.957
ENSMUSG00000046330,P61514-1,reviewed,"""Rpl37a""",7.4435
ENSMUSG00000024325,O35730-1,reviewed,"""Ring1""",4.9785
ENSMUSG00000024327,Q31125-1,reviewed,"""Slc39a7""",5.4263
ENSMUSG00000024639,P21279-1,reviewed,"""Gnaq""",5.221
ENSMUSG00000026675,O88736-1,reviewed,"""Hsd17b7""",2.5151
ENSMUSG00000026674,Q62371-1,reviewed,"""Ddr2""",0.8276
ENSMUSG00000026672,Q8K3K8-1,reviewed,"""Optn""",2.6887
ENSMUSG00000026678,O08850-1,reviewed,"""Rgs5""",4.9122
ENSMUSG00000055707,Q8BGY4-1,reviewed,"""Klhl26""",4.4922
ENSMUSG00000041629,A2A6P4-1,unreviewed,"""Fam104a""",3.7425
ENSMUSG00000041199,Q8VCZ8-1,reviewed,"""Rpusd1""",5.2288
ENSMUSG00000041623,Q6PIX9-1,reviewed,"""D11Wsu47e""",2.6428
ENSMUSG00000041625,Q923B0-1,reviewed,"""Ggact""",4.6747
ENSMUSG00000005034,P68181-1,reviewed,"""Prkacb""",6.5515
ENSMUSG00000038485,Q8VHQ2-1,reviewed,"""Socs7""",4.4105
ENSMUSG00000031536,Q8K409-1,reviewed,"""Polb""",5.1087
ENSMUSG00000049421,Q62513-1,reviewed,"""Znf260""",4.0948
ENSMUSG00000038733,Q8C6G8-1,reviewed,"""Wdr26""",4.8854
ENSMUSG00000030452,Q9JJC8-1,reviewed,"""Nipa2""",3.5135
ENSMUSG00000030101,Q8R0F3-1,reviewed,"""Sumf1""",3.09
ENSMUSG00000030102,P11881-1,reviewed,"""Itpr1""",5.9348
ENSMUSG00000030103,O35185-1,reviewed,"""Bhlhe40""",4.6596
ENSMUSG00000030104,Q925U4-1,reviewed,"""Edem1""",2.2049
ENSMUSG00000030105,Q9CQW2-1,reviewed,"""Arl8b""",5.7691
ENSMUSG00000037339,E9PV82-1,reviewed,"""Fam53a""",3.0225
ENSMUSG00000040860,Q8CJ40-1,reviewed,"""Crocc""",4.5869
ENSMUSG00000020801,Q9CXU1-1,reviewed,"""Med31""",3.4065
ENSMUSG00000020802,Q6ZPJ3-1,reviewed,"""Ube2o""",5.1377
ENSMUSG00000020803,Q9CQM5-1,reviewed,"""Txndc17""",4.7006
ENSMUSG00000027679,Q9CQV7-1,reviewed,"""Dnajc19""",4.8067
ENSMUSG00000031851,Q9CQA9-1,reviewed,"""Ntpcr""",4.2819
ENSMUSG00000031858,Q9D2X5-1,reviewed,"""Mau2""",4.5611
ENSMUSG00000023571,Q8R2Z0-1,reviewed,"""C1qtnf12""",3.1438
ENSMUSG00000023572,Q3TVC7-1,reviewed,"""Ccndbp1""",5.3549
ENSMUSG00000026095,Q8BFS9-1,reviewed,"""Asnsd1""",3.3264
ENSMUSG00000026096,Q6PEB4-1,reviewed,"""Osgepl1""",3.3353
ENSMUSG00000036887,P98086-1,reviewed,"""C1qa""",4.7187
ENSMUSG00000055128,Q8BMJ7-1,reviewed,"""Cgrrf1""",4.0409
ENSMUSG00000036880,Q8BWT1-1,reviewed,"""Acaa2""",3.7175
ENSMUSG00000004610,Q9DCW4-1,reviewed,"""Etfb""",5.1456
ENSMUSG00000022779,Q9Z321-1,reviewed,"""Top3b""",5.1428
ENSMUSG00000022770,Q811D0-1,reviewed,"""Dlg1""",5.4991
ENSMUSG00000022771,Q9D787-1,reviewed,"""Ppil2""",5.5658
ENSMUSG00000022774,Q9CQ49-1,reviewed,"""Ncbp2""",5.2602
ENSMUSG00000003344,E9PUS2-1,unreviewed,"""Btbd2""",5.4084
ENSMUSG00000003345,Q8BVP5-1,reviewed,"""Csnk1g2""",6.2396
ENSMUSG00000003346,Q99JW1-1,reviewed,"""Abhd17a""",6.5517
ENSMUSG00000003348,Q8BSU7-1,reviewed,"""Mob3a""",1.4134
ENSMUSG00000040712,Q80Y50-1,reviewed,"""Camta2""",5.79
ENSMUSG00000040713,O88668-1,reviewed,"""Creg1""",4.014
ENSMUSG00000026064,Q63739-1,reviewed,"""Ptp4a1""",5.1346
ENSMUSG00000071369,O35099-1,reviewed,"""Map3k5""",3.3567
ENSMUSG00000039461,Q8VEA7-1,reviewed,"""Tcta""",4.2896
ENSMUSG00000039463,Q8R4D1-1,reviewed,"""Slc9a8""",4.2836
ENSMUSG00000028479,Q91WG8-1,reviewed,"""Gne""",3.2516
ENSMUSG00000060063,P30355-1,reviewed,"""Alox5ap""",2.7553
ENSMUSG00000052160,Q8BG07-1,reviewed,"""Pld4""",2.1228
ENSMUSG00000047843,P28662-1,reviewed,"""Bri3""",5.1546
ENSMUSG00000060935,Q9DAM7-1,reviewed,"""Tmem263""",2.8749
ENSMUSG00000025209,Q8CIW5-1,reviewed,"""Twnk""",2.1193
ENSMUSG00000028639,P62960-1,reviewed,"""Ybx1""",6.8058
ENSMUSG00000025203,P13011-1,reviewed,"""Scd2""",8.0317
ENSMUSG00000028633,P70698-1,reviewed,"""Ctps1""",3.7597
ENSMUSG00000025204,Q9D6J5-1,reviewed,"""Ndufb8""",8.0383
ENSMUSG00000028470,Q9D0S9-1,reviewed,"""Hint2""",4.9954
ENSMUSG00000021048,Q922D8-1,reviewed,"""Mthfd1""",3.656
ENSMUSG00000021040,Q9D8T7-1,reviewed,"""Slirp""",5.2654
ENSMUSG00000021044,Q9D0L4-1,reviewed,"""Adck1""",4.018
ENSMUSG00000032777,Q8K284-1,reviewed,"""Gtf3c1""",4.5853
ENSMUSG00000009470,Q8BFY9-1,reviewed,"""Tnpo1""",3.6511
ENSMUSG00000052331,B2RXR6-1,reviewed,"""Ankrd44""",2.5481
ENSMUSG00000029545,Q07417-1,reviewed,"""Acads""",2.2863
ENSMUSG00000023913,Q60963-1,reviewed,"""Pla2g7""",6.0715
ENSMUSG00000079017,Q8R412-1,reviewed,"""Ifi27l2a""",2.0255
ENSMUSG00000023915,Q9EPU5-1,reviewed,"""Tnfrsf21""",4.4628
ENSMUSG00000028949,Q6P9Z1-1,reviewed,"""Smarcd3""",5.7957
ENSMUSG00000028948,Q3TZX8-1,reviewed,"""Nol9""",2.7477
ENSMUSG00000028945,Q921J2-1,reviewed,"""Rheb""",5.7134
ENSMUSG00000028944,Q91WG5-1,reviewed,"""Prkag2""",5.768
ENSMUSG00000028496,A2AM29-1,reviewed,"""Mllt3""",3.6101
ENSMUSG00000028495,P62754-1,reviewed,"""Rps6""",7.102
ENSMUSG00000028494,P43883-1,reviewed,"""Plin2""",2.9059
ENSMUSG00000046711,P17095-2,reviewed,"""Hmga1""",4.5743
ENSMUSG00000024130,Q8R420-1,reviewed,"""Abca3""",4.2543
ENSMUSG00000024132,P42125-1,reviewed,"""Eci1""",3.999
ENSMUSG00000024137,Q8CCE9-1,reviewed,"""E4f1""",4.1218
ENSMUSG00000044573,Q9D358-1,reviewed,"""Acp1""",2.999
ENSMUSG00000067873,Q8BGC0-1,reviewed,"""Htatsf1""",4.436
ENSMUSG00000035172,Q8VCE9-1,reviewed,"""Plekhh3""",2.9555
ENSMUSG00000038902,Q8BZH4-1,reviewed,"""Pogz""",4.333
ENSMUSG00000038909,Q5SVQ0-1,reviewed,"""Kat7""",4.7093
ENSMUSG00000053565,Q9DBZ5-1,reviewed,"""Eif3k""",7.0428
ENSMUSG00000002767,Q9D773-1,reviewed,"""Mrpl2""",4.8967
ENSMUSG00000041459,Q921F2-1,reviewed,"""Tardbp""",6.3265
ENSMUSG00000002763,Q99LC9-1,reviewed,"""Pex6""",4.3669
ENSMUSG00000059810,Q9DC04-3,reviewed,"""Rgs3""",4.2208
ENSMUSG00000002768,Q64327-1,reviewed,"""Mea1""",5.8903
ENSMUSG00000055923,Q80WC9-1,reviewed,"""Aasdh""",3.5149
ENSMUSG00000032193,P35951-1,reviewed,"""Ldlr""",2.6785
ENSMUSG00000032194,Q8BX02-1,reviewed,"""Kank2""",2.1138
ENSMUSG00000032199,Q6P6I6-1,reviewed,"""Polr2m""",6.3872
ENSMUSG00000044712,G3UVW3-1,reviewed,"""Slc38a6""",3.9221
ENSMUSG00000019952,Q8BHD1-1,reviewed,"""Poc1b""",1.9563
ENSMUSG00000019951,A2RSJ4-1,reviewed,"""Uhrf1bp1l""",3.8404
ENSMUSG00000024190,P28563-1,reviewed,"""Dusp1""",4.3116
ENSMUSG00000036678,P58742-1,reviewed,"""Aaas""",2.9435
ENSMUSG00000047423,Q8VD62-2,reviewed,"""Bles03""",5.1969
ENSMUSG00000062519,Q8BV16-1,unreviewed,"""Zfp398""",2.6132
ENSMUSG00000002580,Q9CQ86-1,reviewed,"""Mien1""",6.1211
ENSMUSG00000041297,Q69ZA1-1,reviewed,"""Cdk13""",3.0169
ENSMUSG00000024797,Q3UVL4-1,reviewed,"""Vps51""",5.4227
